imageLink,location,price
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7941/thimg_IMG_9920-Edited_360x246.webp?lossy=1&strip=1&webp=1,"Purano Parsa, Ward No. 6, Khairahani Municipality, Chitwan, Bagmati Nepal",16000000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7940/thimg_IMG_20221112_122403-1-_360x246.webp?lossy=1&strip=1&webp=1,"Battishputali, Ward No. 9, Kathmandu Mahanagarpalika, Kathmandu, Bagmati Nepal",33500000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7936/thimg_IMG_4267-Edited-1-_360x246.webp?lossy=1&strip=1&webp=1,"Koteshwor, Ward No. 32, Kathmandu Mahanagarpalika, Kathmandu, Bagmati Nepal",110000000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7930/thimg_viber_image_2022-11-09_17-15-41-455_360x246.webp?lossy=1&strip=1&webp=1,"Jorpati, Ward No. 8, Gokarneshwor Nagarpalika, Kathmandu, Bagmati Nepal",32000000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7927/thimg_viber_image_2022-11-08_14-38-17-748_360x246.webp?lossy=1&strip=1&webp=1,"Parbatipur, Ward No. 21, Bharatpur Metropolitan City, Chitwan, Bagmati Nepal",4900000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7922/thimg_IMG_4132-Edited_360x246.webp?lossy=1&strip=1&webp=1,"Lokanthali, Ward No. 2, Madhyapur Thimi Municipality, Bhaktapur, Bagmati Nepal",27500000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7921/thimg_1667489372509-1-_360x246.webp?lossy=1&strip=1&webp=1,"Nayabuspark, Ward No. 26, Kathmandu Mahanagarpalika, Kathmandu, Bagmati Nepal",47500000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7920/thimg_IMG_4076-Edited_360x246.webp?lossy=1&strip=1&webp=1,"Lambagar, Ward No. 8, Tarkeshwor Nagarpalika, Kathmandu, Bagmati Nepal",25000000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7918/thimg_Untitled-design-1-_360x246.webp?lossy=1&strip=1&webp=1,"Golfutar, Ward No. 8, Budhanilkantha Nagarpalika, Kathmandu, Bagmati Nepal",25000000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7912/thimg_IMG_4048-Edited_360x246.webp?lossy=1&strip=1&webp=1,"Nakhipot, Ward No. 14, Lalitpur Metropolitan City, Lalitpur, Bagmati Nepal",38500000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7908/thimg_IMG_3947-Edited-1-_360x246.webp?lossy=1&strip=1&webp=1,"Tathali, Ward No.08, Changunarayan Municipality, Bhaktapur, Bagmati Nepal",30000000
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7905/thimg_1666239394231-2-_360x246.webp?lossy=1&strip=1&webp=1,"Hattiban, Ward No. 23, Lalitpur Metropolitan City, Lalitpur, Bagmati Nepal",41000000
