imageLink,location,price, landArr, itemLink, itemTitle
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7941/thimg_IMG_9920-Edited_360x246.webp?lossy=1&strip=1&webp=1,"Purano Parsa, Ward No. 6, Khairahani Municipality, Chitwan, Bagmati Nepal",16000000,6Dhur,https://gharjagganepal.com/properties/7941-House-Purano-Parsa-Ward-No-6-Khairahani-Municipality-Chitwan-Bagmati-Nepal/, Commercial house for sale
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7940/thimg_IMG_20221112_122403-1-_360x246.webp?lossy=1&strip=1&webp=1,"Battishputali, Ward No. 9, Kathmandu Mahanagarpalika, Kathmandu, Bagmati Nepal",33500000,5AAna,https://gharjagganepal.com/properties/7940-House-Battishputali-Ward-No-9-Kathmandu-Mahanagarpalika-Kathmandu-Bagmati-Nepal/, URGENT: RESIDENTIAL HOUSE ON SALE AT PRIME LOCATION
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7936/thimg_IMG_4267-Edited-1-_360x246.webp?lossy=1&strip=1&webp=1,"Koteshwor, Ward No. 32, Kathmandu Mahanagarpalika, Kathmandu, Bagmati Nepal",110000000,99 sqmi,https://gharjagganepal.com/properties/7936-House-Koteshwor-Ward-No-32-Kathmandu-Mahanagarpalika-Kathmandu-Bagmati-Nepal/, House for sale
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7930/thimg_viber_image_2022-11-09_17-15-41-455_360x246.webp?lossy=1&strip=1&webp=1,"Jorpati, Ward No. 8, Gokarneshwor Nagarpalika, Kathmandu, Bagmati Nepal",32000000,4.50AAna,https://gharjagganepal.com/properties/7930-House-Jorpati-Ward-No-8-Gokarneshwor-Nagarpalika-Kathmandu-Bagmati-Nepal/, House for sale 
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7927/thimg_viber_image_2022-11-08_14-38-17-748_360x246.webp?lossy=1&strip=1&webp=1,"Parbatipur, Ward No. 21, Bharatpur Metropolitan City, Chitwan, Bagmati Nepal",4900000,10Dhur,https://gharjagganepal.com/properties/7927-House-Parbatipur-Ward-No-21-Bharatpur-Metropolitan-City-Chitwan-Bagmati-Nepal/, House for sale 
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7922/thimg_IMG_4132-Edited_360x246.webp?lossy=1&strip=1&webp=1,"Lokanthali, Ward No. 2, Madhyapur Thimi Municipality, Bhaktapur, Bagmati Nepal",27500000,4AAna,https://gharjagganepal.com/properties/7922-House-Lokanthali-Ward-No-2-Madhyapur-Thimi-Municipality-Bhaktapur-Bagmati-Nepal/, House for sale
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7921/thimg_1667489372509-1-_360x246.webp?lossy=1&strip=1&webp=1,"Nayabuspark, Ward No. 26, Kathmandu Mahanagarpalika, Kathmandu, Bagmati Nepal",47500000,3.07AAna,https://gharjagganepal.com/properties/7921-House-Nayabuspark-Ward-No-26-Kathmandu-Mahanagarpalika-Kathmandu-Bagmati-Nepal/, House for sale 
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7920/thimg_IMG_4076-Edited_360x246.webp?lossy=1&strip=1&webp=1,"Lambagar, Ward No. 8, Tarkeshwor Nagarpalika, Kathmandu, Bagmati Nepal",25000000,3.50AAna,https://gharjagganepal.com/properties/7920-House-Lambagar-Ward-No-8-Tarkeshwor-Nagarpalika-Kathmandu-Bagmati-Nepal/, House for sale
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7918/thimg_Untitled-design-1-_360x246.webp?lossy=1&strip=1&webp=1,"Golfutar, Ward No. 8, Budhanilkantha Nagarpalika, Kathmandu, Bagmati Nepal",25000000,3.30AAna,https://gharjagganepal.com/properties/7918-House-Golfutar-Ward-No-8-Budhanilkantha-Nagarpalika-Kathmandu-Bagmati-Nepal/, House for sale 
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7912/thimg_IMG_4048-Edited_360x246.webp?lossy=1&strip=1&webp=1,"Nakhipot, Ward No. 14, Lalitpur Metropolitan City, Lalitpur, Bagmati Nepal",38500000,4AAna,https://gharjagganepal.com/properties/7912-House-Nakhipot-Ward-No-14-Lalitpur-Metropolitan-City-Lalitpur-Bagmati-Nepal/, House for sale 
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7908/thimg_IMG_3947-Edited-1-_360x246.webp?lossy=1&strip=1&webp=1,"Tathali, Ward No.08, Changunarayan Municipality, Bhaktapur, Bagmati Nepal",30000000,4.13AAna,https://gharjagganepal.com/properties/7908-House-Tathali-Ward-No-08-Changunarayan-Municipality-Bhaktapur-Bagmati-Nepal/, House for sale 
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7905/thimg_1666239394231-2-_360x246.webp?lossy=1&strip=1&webp=1,"Hattiban, Ward No. 23, Lalitpur Metropolitan City, Lalitpur, Bagmati Nepal",41000000,undefined,https://gharjagganepal.com/properties/7905-House-Hattiban-Ward-No-23-Lalitpur-Metropolitan-City-Lalitpur-Bagmati-Nepal/, House for sale 
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7903/thimg_IMG_0899-1-_360x246.webp?lossy=1&strip=1&webp=1,"Tikathali, Ward No. 5, Mahalaxmi Municipality, Lalitpur, Bagmati Nepal",27500000,3.13AAna,https://gharjagganepal.com/properties/7903-House-Tikathali-Ward-No-5-Mahalaxmi-Municipality-Lalitpur-Bagmati-Nepal/, House for sale 
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7902/thimg_house-for-sale-at-banasthali_360x246.webp?lossy=1&strip=1&webp=1,"Banasthali, Ward No. 1, Nagarjun Nagarpalika, Kathmandu, Bagmati Nepal",27000000,3.19AAna,https://gharjagganepal.com/properties/7902-House-Banasthali-Ward-No-1-Nagarjun-Nagarpalika-Kathmandu-Bagmati-Nepal/, House for sale 
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7899/thimg_IMG_3808-Edited_360x246.webp?lossy=1&strip=1&webp=1,"Imadol, Ward No. 6, Mahalaxmi Municipality, Lalitpur, Bagmati Nepal",28000000,3.63AAna,https://gharjagganepal.com/properties/7899-House-Imadol-Ward-No-6-Mahalaxmi-Municipality-Lalitpur-Bagmati-Nepal/, House for sale 
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7896/thimg_IMG_9549-1-_360x246.webp?lossy=1&strip=1&webp=1,"Chowk Bazar, Ward No. 6, Bharatpur Metropolitan City, Chitwan, Bagmati Nepal",8500000,22.50Dhur,https://gharjagganepal.com/properties/7896-House-Chowk-Bazar-Ward-No-6-Bharatpur-Metropolitan-City-Chitwan-Bagmati-Nepal/, House for sale 
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7894/thimg_yagyapuri_360x246.webp?lossy=1&strip=1&webp=1,"Yagyapuri, Ward No. 4, Bharatpur Metropolitan City, Chitwan, Bagmati Nepal",38000000,2.70kaththa,https://gharjagganepal.com/properties/7894-House-Yagyapuri-Ward-No-4-Bharatpur-Metropolitan-City-Chitwan-Bagmati-Nepal/, House for sale 
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7890/thimg_viber_image_2022-09-30_09-27-33-572-Edited_360x246.webp?lossy=1&strip=1&webp=1,"Ward No. 11, Birgunj Municipality, Parsa, Pradesh 2 Nepal",20000000,3AAna,https://gharjagganepal.com/properties/7890-House-Ward-No-11-Birgunj-Municipality-Parsa-Pradesh-2-Nepal/, House for sale 
https://694594.smushcdn.com/2427706/wp-content/uploads/WPL/7888/thimg_2_360x246.webp?lossy=1&strip=1&webp=1,"Green Hill City, Mulpani, Ward No. 6, Kageshwori Manohara Nagarpalika, Kathmandu, Bagmati Nepal",26000000,8.06AAna,https://gharjagganepal.com/properties/7888-House-Green-Hill-City-Mulpani-Ward-No-6-Kageshwori-Manohara-Nagarpalika-Kathmandu-Bagmati-Nepal/, House for sale 
